FILE PATH,JS SELECTOR,ROW,TYPE,CLASSES,TRANSLATIONS STRINGS
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\attachment-component-view.html,js--attachment_component_view-wrapper,1,div,wc-enr-member-info js--attachment_component_view-wrapper,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\attachment-component-view.html,js--attachment_component_view-general_attachments_dialog,5,oj-dialog,wc-enr-member-info attachments-dialog js--attachment_component_view-general_attachments_dialog,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\attachment-component-view.html,js--attachment_component_view-uploadfile,19,input,js--attachment_component_view-uploadfile,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\attachment-component-view.html,js--attachment_component_view-attachment_file_dialog,139,oj-dialog,attachment-dialog dialog dialog--attachment js--attachment_component_view-attachment_file_dialog ,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-container,1,div,searchFilter clGrey48 js--search_filter_criteria-container,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--attachment_component-search_filter_criteria-criteria_items_list,18,oj-select-one,select select-search js--attachment_component-search_filter_criteria-criteria_items_list,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-check_value_exists,29,div,size205 js--search_filter_criteria-check_value_exists,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--attachment_component-search_filter_criteria-criteria_item_selected_list,30,oj-select-one,filter-ui-elem111 js--attachment_component-search_filter_criteria-criteria_item_selected_list,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-text,38,oj-input-text,js--search_filter_criteria-text,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-lookupComponent,45,div, js--search_filter_criteria-lookupComponent,('CMN.searchFilter.Select')
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-num_from,54,oj-input-text,js--search_filter_criteria-num_from,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--search_filter_criteria-num_to,59,oj-input-text,js--search_filter_criteria-num_to,
..\enrollment\web\enrollment-web-jet\src\js\jet-composites\attachment-component\dependencies\views\searchFilterCriteria.html,js--attachment_component-search_filter_criteria-criteria_item__date_from,68,oj-input-date,dateFrom js--attachment_component-search_filter_criteria-criteria_item__date_from,
